texture_name,texture,N,theta_r,theta_r_sd,theta_s,theta_s_sd,log10_alpha,log10_alpha_sd,log10_n,log10_n_sd,log10_Ks,log10_Ks_sd,log10_Ko,log10_Ko_sd,L,L_sd
clay,Clay,84,0.098,0.107,0.459,0.079,-1.825,0.68,0.098,0.07,1.169,0.92,0.472,0.26,-1.561,1.39
clay loam,C loam,140,0.079,0.076,0.442,0.079,-1.801,0.69,0.151,0.12,0.913,1.09,0.699,0.23,-0.763,0.9
loam,Loam,242,0.061,0.073,0.399,0.098,-1.954,0.73,0.168,0.13,1.081,0.92,0.568,0.21,-0.371,0.84
loamy sand,L Sand,201,0.049,0.042,0.39,0.07,-1.459,0.47,0.242,0.16,2.022,0.64,1.386,0.24,-0.874,0.59
sand,Sand,308,0.053,0.029,0.375,0.055,-1.453,0.25,0.502,0.18,2.808,0.59,1.389,0.24,-0.93,0.49
sandy clay,S Clay,11,0.117,0.114,0.385,0.046,-1.476,0.57,0.082,0.06,1.055,0.89,0.637,0.34,-3.665,1.8
sandy clay loam,S C L,87,0.063,0.078,0.384,0.061,-1.676,0.71,0.124,0.12,1.12,0.85,0.841,0.24,-1.28,0.99
sandy loam,S loam,476,0.039,0.054,0.387,0.085,-1.574,0.56,0.161,0.11,1.583,0.66,1.19,0.21,-0.861,0.73
silt,Silt,6,0.05,0.041,0.489,0.078,-2.182,0.3,0.225,0.13,1.641,0.27,0.524,0.32,0.624,1.57
silty clay,Si Clay,28,0.111,0.119,0.481,0.08,-1.79,0.64,0.121,0.1,0.983,0.57,0.501,0.27,-1.287,1.23
silty clay loam,Si C L,172,0.09,0.082,0.482,0.086,-2.076,0.59,0.182,0.13,1.046,0.76,0.349,0.26,-0.156,1.23
silty loam,Si Loam,330,0.065,0.073,0.439,0.093,-2.296,0.57,0.221,0.14,1.261,0.74,0.243,0.26,0.365,1.42
